verb,level,,,,,,,,,,,,
list    ,knowledge,,,,,,,,,,,,
state,knowledge,,,,,,,,,,,,
name,knowledge,,,,,,,,,,,,
tell,knowledge,,,,,,,,,,,,
recall,knowledge,,,,,,,,,,,,
label,knowledge,,,,,,,,,,,,
record,knowledge,,,,,,,,,,,,
define,knowledge,,,,,,,,,,,,
relate,knowledge,,,,,,,,,,,,
recall,knowledge,,,,,,,,,,,,
repeat,knowledge,,,,,,,,,,,,
select,knowledge,,,,,,,,,,,,
underline,knowledge,,,,,,,,,,,,
arrange,knowledge,,,,,,,,,,,,
describe,knowledge,,,,,,,,,,,,
memorize,knowledge,,,,,,,,,,,,
recognize,knowledge,,,,,,,,,,,,
reproduce,knowledge,,,,,,,,,,,,
explain,comprehension,,,,,,,,,,,,
translate,comprehension,,,,,,,,,,,,
identify,comprehension,,,,,,,,,,,,
restate,comprehension,,,,,,,,,,,,
discuss,comprehension,,,,,,,,,,,,
tell,comprehension,,,,,,,,,,,,
reference,comprehension,,,,,,,,,,,,
describe,comprehension,,,,,,,,,,,,
express,comprehension,,,,,,,,,,,,
classify,comprehension,,,,,,,,,,,,
locate,comprehension,,,,,,,,,,,,
review,comprehension,,,,,,,,,,,,
critique,comprehension,,,,,,,,,,,,
interpret,comprehension,,,,,,,,,,,,
report,comprehension,,,,,,,,,,,,
summarize,comprehension,,,,,,,,,,,,
discuss,comprehension,,,,,,,,,,,,
compare,comprehension,,,,,,,,,,,,
illustrate,comprehension,,,,,,,,,,,,
estimate,comprehension,,,,,,,,,,,,
reiterate,comprehension,,,,,,,,,,,,
apply  ,application,,,,,,,,,,,,
use,application,,,,,,,,,,,,
practice,application,,,,,,,,,,,,
demonstrate,application,,,,,,,,,,,,
complete,application,,,,,,,,,,,,
sketch,application,,,,,,,,,,,,
solve,application,,,,,,,,,,,,
construct,application,,,,,,,,,,,,
conduct,application,,,,,,,,,,,,
dramatize,application,,,,,,,,,,,,
perform,application,,,,,,,,,,,,
respond,application,,,,,,,,,,,,
role-play,application,,,,,,,,,,,,
execute,application,,,,,,,,,,,,
employ,application,,,,,,,,,,,,
analyze  ,analysis,,,,,,,,,,,,
distinguish,analysis,,,,,,,,,,,,
differentiate,analysis,,,,,,,,,,,,
appraise,analysis,,,,,,,,,,,,
calculate,analysis,,,,,,,,,,,,
experiment,analysis,,,,,,,,,,,,
inspect,analysis,,,,,,,,,,,,
categorize,analysis,,,,,,,,,,,,
catalogue,analysis,,,,,,,,,,,,
quantify,analysis,,,,,,,,,,,,
measure,analysis,,,,,,,,,,,,
relate,analysis,,,,,,,,,,,,
test,analysis,,,,,,,,,,,,
critique,analysis,,,,,,,,,,,,
diagnose,analysis,,,,,,,,,,,,
extrapolate,analysis,,,,,,,,,,,,
theorize,analysis,,,,,,,,,,,,
debate,analysis,,,,,,,,,,,,
develop ,synthesis,,,,,,,,,,,,
plan,synthesis,,,,,,,,,,,,
build,synthesis,,,,,,,,,,,,
create,synthesis,,,,,,,,,,,,
design,synthesis,,,,,,,,,,,,
organize,synthesis,,,,,,,,,,,,
revise,synthesis,,,,,,,,,,,,
formulate,synthesis,,,,,,,,,,,,
propose,synthesis,,,,,,,,,,,,
establish,synthesis,,,,,,,,,,,,
integrate,synthesis,,,,,,,,,,,,
modify,synthesis,,,,,,,,,,,,
compose,synthesis,,,,,,,,,,,,
collect,synthesis,,,,,,,,,,,,
construct,synthesis,,,,,,,,,,,,
prepare,synthesis,,,,,,,,,,,,
devise,synthesis,,,,,,,,,,,,
manage,synthesis,,,,,,,,,,,,
review ,evaluation,,,,,,,,,,,,
justify,evaluation,,,,,,,,,,,,
assess,evaluation,,,,,,,,,,,,
defend,evaluation,,,,,,,,,,,,
report on,evaluation,,,,,,,,,,,,
investigate,evaluation,,,,,,,,,,,,
appraise,evaluation,,,,,,,,,,,,
argue,evaluation,,,,,,,,,,,,
rate,evaluation,,,,,,,,,,,,
score,evaluation,,,,,,,,,,,,
select,evaluation,,,,,,,,,,,,
measure,evaluation,,,,,,,,,,,,
choose,evaluation,,,,,,,,,,,,
conclude,evaluation,,,,,,,,,,,,
compare,evaluation,,,,,,,,,,,,
evaluate,evaluation,,,,,,,,,,,,
interpret,evaluation,,,,,,,,,,,,
support,evaluation,,,,,,,,,,,,
